delta	REDSHIFT	VLA 6cm (uJy)	I Band	Ratio
0.06	0.203	5039	16.53	5.68
0.16	0.269	576	16.993	0.99
0.34	0.286	42.9	17.679	0.14
0.5	0.274	63.3	16.618	0.08
0.6	0.231	30.4	16.213	0.03
1.13	0.228	73.4	16.607	0.09
0.42	0.254	49700	16.546	151
0.5	0.263	152	17.49	0.41
0.5	0.282	66.2	17.5	0.18
0.54	0.207	126	16.672	0.16
0.15	0.203	61.9	16.725	0.08
0.21	0.229	716	16.518	0.8
0.67	0.231	46	16.285	0.04
0.14	0.265	51414	15.512	308.96
0.23	0.227	296	16.87	0.46
0.52	0.295	79.9	16.775	0.11
0.09	0.207	1645	16.92	2.66
0.16	0.238	1431	16.454	1.5
0.22	0.229	266	16.627	0.33
0.06	0.206	381	16.255	0.33
0.4	0.234	41.7	16.991	0.07
0.1	0.269	474	16.644	0.59
2.48	0.205	1179	16.042	0.85
0.34	0.262	299	17.218	0.64
0.08	0.27	64.1	16.91	0.1
0.24	0.258	49.7	17.094	0.09
0.2	0.254	125	16.707	0.17
1.41	0.29	21.2	17.203	0.04
0.22	0.208	1237	15.69	0.64
0.46	0.217	728	16.73	0.99
